,,,,,,,,,0,0,0,0,0,,,,,,
,,,,,,,,,W_03,1,1,1,W_03,,,,,,
,,,,,,,,,W_02,1,16,1,W_03,,,,,,
,,,,,,,,,W_03,1,1,1,W_03,,,,,,
,,,,,,,,,W_02,1,1,1,W_03,,,,,,
,,,,,,,,,W_03,1,1,1,W_02,,,,,,
,,,,,,,,,W_02,1,1,1,W_02,,,,,,
,,,,,,,,,W_03,1,1,1,W_03,,,,,,
,,,,,,,,,W_03,1,1,1,W_03,,,,,,
,,,W_03,W_02,W_03,W_03,W_02,W_02,W_02,W_03,13,W_03,W_03,W_03,W_03,W_03,W_03,W_03,W_03
,,,W_03,1,1,1,1,1,1,1,M_000,1,1,M_003,6,1,1,I_05,W_03
,,,W_03,1,1,I_03,1,1,1,1,1,1,1,1,W_03,1,12,1,W_00
0,W_03,W_03,W_03,1,1,1,W_02,W_03,W_02,W_03,W_03,W_02,W_02,I_04,W_03,I_05,1,1,W_00
0,14,1,M_004,1,1,1,W_02,1,1,1,1,M_003,W_02,1,W_02,W_02,W_00,W_00,W_00
0,W_03,W_03,W_02,1,1,1,W_00,I_03,W_01,W_00,W_00,1,1,M_003,1,I_03,I_03,I_04,W_00
,,,W_02,1,1,1,W_00,1,I_04,I_04,W_00,1,W_03,W_02,W_02,1,1,1,W_00
,,,W_02,1,1,1,W_00,W_00,W_00,W_00,W_00,1,W_03,W_03,W_03,1,M_004,1,W_00
,,,W_03,1,1,1,1,1,1,1,W_02,1,W_02,W_02,W_03,M_004,1,M_004,W_00
,,,W_03,I_03,1,1,1,1,1,1,W_02,1,1,1,1,1,1,1,W_00
,,,W_03,1,1,1,1,1,1,1,M_004,1,1,1,1,1,1,1,W_00
,,,W_02,W_02,W_02,W_03,W_03,W_02,W_02,1,W_03,W_03,W_02,W_03,W_02,W_00,W_00,W_00,W_00
,,,,,,,,,W_03,1,W_03,,,,,,,,
,,,,,,,,,W_03,1,W_02,,,,,,,,
,,,,,,,,,W_02,15,W_02,,,,,,,,
,,,,,,,,,0,0,0,,,,,,,,
