W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00
W_00,14,W_00,1,M_000,6,1,W_00,1,1,6,1,W_00
W_00,1,W_00,1,1,W_00,I_01,W_00,M_000,M_000,W_00,M_000,W_00
W_00,1,6,M_000,1,W_00,1,W_00,I_01,I_01,W_00,1,W_00
W_00,W_00,W_00,W_00,5,W_00,1,W_00,I_01,I_01,W_00,1,W_00
W_00,I_01,1,M_000,1,W_00,1,W_00,W_00,W_00,W_00,1,W_00
W_00,I_01,1,1,M_000,W_00,1,1,1,1,1,1,W_00
W_00,W_00,M_000,W_00,W_00,W_00,1,W_00,W_00,W_00,W_00,1,W_00
W_00,1,1,1,1,W_00,1,W_00,1,1,1,1,W_00
W_00,1,I_01,I_05,1,W_00,1,W_00,1,W_00,W_00,W_00,W_00
W_00,W_00,W_00,W_00,W_00,W_00,1,W_00,1,W_00,1,1,W_00
W_00,15,1,1,1,1,1,W_00,1,1,1,1,W_00
W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00
