W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00
W_00,1,1,M_010,6,1,14,1,1,1,1,1,W_00
W_00,1,I_01,1,W_00,1,1,1,W_00,1,M_010,1,W_00
W_00,M_010,W_00,W_00,W_00,W_00,3,W_00,W_00,W_00,W_00,1,W_00
W_00,1,I_01,1,W_00,I_01,1,I_01,6,6,1,1,W_00
W_00,1,1,M_011,6,1,1,1,W_00,W_00,1,W_00,W_00
W_00,W_00,W_00,W_00,W_00,W_00,W_00,M_010,W_00,1,1,M_011,W_00
W_00,I_01,1,6,M_010,I_01,W_00,1,W_00,1,W_00,1,W_00
W_00,M_010,1,W_00,1,1,W_00,1,W_00,W_00,W_00,5,W_00
W_00,5,W_00,W_00,W_00,5,W_00,1,W_00,I_01,1,M_010,W_00
W_00,1,I_05,W_00,1,M_011,W_00,M_010,W_00,1,M_011,1,W_00
W_00,15,1,4,1,1,6,1,6,M_010,1,I_05,W_00
W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00
